month,industrial_production,industrial_production_is_imputed,census_manufacturing_orders,census_manufacturing_orders_is_imputed,renewable_energy_share,renewable_energy_share_is_imputed,total_research,total_trial,total_development,rd_expenditure,res_personalized_medicine,tri_personalized_medicine,dev_personalized_medicine,res_antibodies,tri_antibodies,dev_antibodies,res_orphan_drugs,tri_orphan_drugs,dev_orphan_drugs,res_medical_devices,tri_medical_devices,dev_medical_devices,res_space_biology,tri_space_biology,dev_space_biology,collected_at,is_partial_month
2024-06,100.89,False,0,False,0.0,False,7272,0,1712,0,2324,0,1601,3337,0,21,252,0,10,1357,0,80,2,0,0,legacy,False
2024-07,99.98,False,0,False,0.0,False,7499,0,1852,0,2468,0,1742,3382,0,37,243,0,9,1403,0,64,3,0,0,legacy,False
2024-08,100.43,False,0,False,0.0,False,7428,0,1849,0,2462,0,1745,3294,0,23,241,0,4,1427,0,77,4,0,0,legacy,False
2024-09,99.81,False,0,False,0.0,False,7641,0,2132,0,2600,0,1990,3372,0,30,256,0,10,1411,0,102,2,0,0,legacy,False
2024-10,99.47,False,0,False,0.0,False,7585,0,2235,0,2722,0,2105,3258,0,14,248,0,9,1353,0,106,4,0,1,legacy,False
2024-11,99.29,False,0,False,0.0,False,7470,0,2379,0,2710,0,2266,3183,0,23,245,0,10,1331,0,80,1,0,0,legacy,False
2024-12,100.33,False,0,False,0.0,False,8423,0,2493,0,3007,0,2387,3647,0,22,292,0,12,1474,0,71,3,0,1,legacy,False
2025-01,100.06,False,0,False,0.0,False,19767,0,3072,0,9577,0,2964,7126,0,20,556,0,10,2502,0,77,6,0,1,legacy,False
2025-02,101.1,False,0,False,0.0,False,7833,0,2776,0,3076,0,2624,3121,0,22,223,0,23,1413,0,106,0,0,1,legacy,False
2025-03,101.04,False,0,False,0.0,False,8454,0,3234,0,3583,0,3077,3257,0,30,230,0,30,1382,0,95,2,0,2,legacy,False
2025-04,101.13,False,0,False,0.0,False,8851,0,3932,0,3760,0,3771,3375,0,32,263,0,27,1451,0,101,2,0,1,legacy,False
2025-05,100.97,False,0,False,0.0,False,9258,0,4126,0,4025,0,3930,3471,0,34,258,0,22,1503,0,138,1,0,2,legacy,False
2025-06,101.48,False,0,False,0.0,False,9095,0,4298,0,3979,0,4114,3386,0,33,221,0,20,1508,0,130,1,0,1,legacy,False
2025-07,101.89,False,0,False,0.0,False,10183,0,4819,0,4724,0,4641,3629,0,30,236,0,16,1592,0,131,2,0,1,legacy,False
2025-08,101.62,False,0,False,0.0,False,9223,0,5992,0,4241,0,5737,3356,0,50,217,0,26,1409,0,175,0,0,4,legacy,False
2025-09,101.67,False,0,False,0.0,False,9903,0,5828,0,4565,0,5520,3548,0,46,235,0,29,1555,0,205,0,0,28,legacy,False
2025-10,101.21,False,0,False,0.0,False,10080,0,5756,0,4698,0,5344,3545,0,49,241,0,28,1594,0,198,2,0,137,legacy,False
2025-11,101.36,False,0,False,0.0,False,10098,0,5534,0,4677,0,5284,3653,0,44,245,0,27,1520,0,176,3,0,3,legacy,False
2025-12,101.68,False,0,False,0.0,False,11277,0,4821,0,5083,0,4573,4187,0,51,239,0,20,1767,0,175,1,0,2,legacy,False
2026-01,102.4,False,0,False,1103.01,False,13058,0,5103,0,6219,0,4808,4640,0,68,295,0,35,1898,0,191,6,0,1,legacy,False
2026-02,102.1,False,621304,False,1103.01,True,9598,888,6007,0,4349,108,5661,3481,179,50,208,12,44,1558,589,248,2,0,4,2026-05-21T16:45:33.302781,False
2026-03,102.3963,True,0,False,1103.01217,True,8826,0,7441,0,3996,0,6897,3252,0,71,171,0,70,1405,0,401,2,0,2,legacy,False
2026-05,102.3963,True,621304,True,1103.01217,True,5629,910,5182,0,2381,108,4802,2214,214,46,129,7,42,904,581,290,1,0,2,2026-05-21T16:47:17.324117,True
